year,month,day,time,hour,date,date_posix,lat,lon,daily_solarexp,daily_rainfall,daily_maxtemp,male_az,sun_al,sun_az,offset,condition
2019,9,26,801,800,19/9/26,26/9/19 8:01,-33.35748,151.50173,14.5,0,23.6,59,28.14,70.66,12,cloud
2019,9,26,811,800,19/9/26,26/9/19 8:11,-33.35748,151.50173,14.5,0,23.6,89,30.1,68.88,20,cloud
2019,9,26,820,800,19/9/26,26/9/19 8:20,-33.35748,151.50173,14.5,0,23.6,108,31.84,67.23,41,cloud
2019,9,26,834,900,19/9/26,26/9/19 8:34,-33.35748,151.50173,14.5,0,23.6,251,34.52,64.52,174,cloud
2019,9,26,840,900,19/9/26,26/9/19 8:40,-33.35748,151.50173,14.5,0,23.6,294,35.64,63.31,129,cloud
2019,9,26,909,900,19/9/26,26/9/19 9:09,-33.35748,151.50173,14.5,0,23.6,122,40.9,56.95,65,cloud
2019,9,26,927,900,19/9/26,26/9/19 9:27,-33.35748,151.50173,14.5,0,23.6,261,43.97,52.49,151,cloud
2019,9,26,934,1000,19/9/26,26/9/19 9:34,-33.35748,151.50173,14.5,0,23.6,45,45.12,50.63,6,cloud
2019,9,26,945,1000,19/9/26,26/9/19 9:45,-33.35748,151.50173,14.5,0,23.6,142,46.86,47.56,94,cloud
2019,9,26,947,1000,19/9/26,26/9/19 9:47,-33.35748,151.50173,14.5,0,23.6,14,47.17,46.99,33,cloud
2019,9,26,949,1000,19/9/26,26/9/19 9:49,-33.35748,151.50173,14.5,0,23.6,238,47.47,46.4,168,cloud
2019,9,26,1012,1000,19/9/26,26/9/19 10:12,-33.35748,151.50173,14.5,0,23.6,265,50.74,39.17,134,cloud
2019,9,26,1019,1000,19/9/26,26/9/19 10:19,-33.35748,151.50173,14.5,0,23.6,241,51.64,36.77,156,cloud
2019,9,26,1020,1000,19/9/26,26/9/19 10:20,-33.35748,151.50173,14.5,0,23.6,55,51.77,36.42,19,cloud
2019,9,26,1025,1000,19/9/26,26/9/19 10:25,-33.35748,151.50173,14.5,0,23.6,39,52.38,34.65,4,cloud
2019,9,26,1040,1100,19/9/26,26/9/19 10:40,-33.35748,151.50173,14.5,0,23.6,156,54.03,29.03,127,cloud
2019,9,26,1049,1100,19/9/26,26/9/19 10:49,-33.35748,151.50173,14.5,0,23.6,97,54.9,25.45,72,cloud
2019,9,26,1054,1100,19/9/26,26/9/19 10:54,-33.35748,151.50173,14.5,0,23.6,326,55.33,23.4,57,cloud
2019,9,26,1055,1100,19/9/26,26/9/19 10:55,-33.35748,151.50173,14.5,0,23.6,331,55.41,22.99,52,cloud
2019,9,26,1057,1100,19/9/26,26/9/19 10:57,-33.35748,151.50173,14.5,0,23.6,117,55.57,22.15,95,cloud
2019,9,26,1108,1100,19/9/26,26/9/19 11:08,-33.35748,151.50173,14.5,0,23.6,348,56.35,17.44,29,cloud
2019,9,26,1121,1100,19/9/26,26/9/19 11:21,-33.35748,151.50173,14.5,0,23.6,193,57.04,11.65,179,cloud
2019,9,26,1123,1100,19/9/26,26/9/19 11:23,-33.35748,151.50173,14.5,0,23.6,153,57.12,10.74,142,cloud
2019,9,26,1124,1100,19/9/26,26/9/19 11:24,-33.35748,151.50173,14.5,0,23.6,52,57.16,10.28,42,cloud
2019,9,26,1128,1100,19/9/26,26/9/19 11:28,-33.35748,151.50173,14.5,0,23.6,49,57.3,8.45,41,cloud
2019,9,26,1129,1100,19/9/26,26/9/19 11:29,-33.35748,151.50173,14.5,0,23.6,308,57.33,7.99,60,cloud
2019,9,26,1131,1200,19/9/26,26/9/19 11:31,-33.35748,151.50173,14.5,0,23.6,76,57.38,7.07,69,cloud
2019,9,26,1146,1200,19/9/26,26/9/19 11:46,-33.35748,151.50173,14.5,0,23.6,66,57.58,0.1,66,cloud
