wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
300,0.000394627,0.000148746,0.000572255,0.000256569,0.000303843,0.000215373,0.000417804,0.000372804,0.000601058,0.000802519,0.001000479,0.0011837,0.0005617,0.000226472,0.00013751,0.000513157,0.000271863,0.000196548,0.000382157
301,0.000437545,0.000157495,0.000594311,0.000311538,0.000330848,0.000193185,0.000445823,0.000463505,0.000676176,0.000946296,0.000967779,0.000906197,0.001217769,0.00024437,0.000192529,0.000511806,0.000349604,0.000262529,0.000430991
302,0.000520903,0.000271887,0.000585901,0.000323099,0.000431069,0.000274116,0.000542116,0.000421887,0.000696312,0.000731321,0.001253624,0.000697619,0.001129561,0.000277329,0.000293953,0.000561329,0.000386655,0.000346691,0.000481704
303,0.00051125,0.000286667,0.000550084,0.000330584,0.000407667,0.0002795,0.00061975,0.000380334,0.0006975,0.001021475,0.00052929,0.001561085,0.000837195,0.000311333,0.000312417,0.00053,0.000349917,0.000322833,0.00052025
304,0.000455681,0.000282034,0.000469202,0.000290004,0.000330845,0.00020492,0.000565521,0.000292761,0.000602168,0.000864794,0.000396576,0.001278586,0.001295804,0.000321517,0.000288319,0.000487038,0.000240597,0.000290761,0.000476168
305,0.000493983,0.000323777,0.000495008,0.000253975,0.000320851,0.000253165,0.000615835,0.00024505,0.000589132,0.000803863,0.000695935,0.001304908,0.000359055,0.000397628,0.000287388,0.000557529,0.000256868,0.000290132,0.000466504
306,0.000534592,0.000298255,0.000520112,0.000283592,0.000321507,0.00020269,0.000598423,0.000257408,0.000604042,0.001345283,0.001288933,0.001130514,0.001289263,0.000412099,0.000300282,0.000615661,0.000296549,0.000283267,0.000510238
307,0.000621066,0.00029455,0.000600099,0.000384132,0.000393066,0.000286542,0.000669387,0.000305369,0.000682926,0.001433488,0.000922497,0.001512101,0.001291815,0.000449435,0.000362623,0.000771461,0.000346664,0.000316173,0.000511066
308,0.00068396,0.00036392,0.00065004,0.000442402,0.000497858,0.000346839,0.000775721,0.00037744,0.000763338,0.001297639,0.001144579,0.000763041,0.00135125,0.000450241,0.0004006,0.000890279,0.000440099,0.000337823,0.00058374
309,0.000792763,0.000438475,0.000815152,0.000609136,0.000594848,0.000445186,0.000878882,0.00053095,0.000971256,0.001008619,0.000975205,0.001131455,0.001321319,0.000560678,0.000492695,0.001026932,0.000471391,0.000367848,0.000785932
310,0.000861096,0.000480319,0.000894278,0.000625271,0.000651468,0.000517866,0.00095636,0.000642427,0.001163096,0.001478318,0.000514397,0.001112164,0.001337777,0.000660732,0.000506751,0.001091691,0.000448461,0.000406271,0.000831022
311,0.001029219,0.000621195,0.001058448,0.000701448,0.00081085,0.000610544,0.001119137,0.000832448,0.001424846,0.001949804,0.001113724,0.001479617,0.001615477,0.000825336,0.000586515,0.001236107,0.000560369,0.000503651,0.001032278
312,0.001158225,0.00069488,0.00117099,0.000720932,0.000930408,0.000624763,0.00117758,0.000848052,0.001544579,0.00168139,0.001006169,0.00169441,0.001335351,0.00095305,0.000672346,0.001338048,0.000592227,0.000594283,0.001135994
