wl,wing,face
190.244,-188.46,15.70528
190.627,-188.46,15.70528
191.01,-188.46,15.70528
191.393,-253.7,1.04992
191.775,90.51,-946.56
192.158,196.15,-37.11168
192.54,-273.53,50.0752
192.923,-1107.14,10.54816
193.305,223.33,3753.6
193.688,-1216.67,27.56992
194.07,1850,375.26752
194.453,15.75,47.3824
194.835,78.42,78.57536
195.218,43.33,-8.12736
195.6,16.67,2.3392
195.982,-74.1,74.83808
196.365,86.84,1142.4
196.747,62.9,61.90176
197.129,7.89,56.47264
197.511,53.8,19.37728
197.893,219.7,-11.8864
198.275,22.34,280.61696
198.657,63.95,22.10272
199.04,16.67,-24.02304
199.422,69.15,64.69248
199.804,850,-101.864
200.185,110.98,191.03104
200.567,200.94,67.20032
200.949,595.45,29.27264
201.331,260.26,-14.94368
201.713,119.57,14.97088
202.095,39.89,685.07008
202.477,60.64,12.648
202.858,64.63,110.06752
203.24,-28.79,15.7488
203.622,-68.18,-89.2976
204.003,-483.33,184.3344
204.385,286.36,25.17088
204.766,1583.33,13.12128
205.148,-7.38,30.83936
205.529,108.62,25.3504
205.911,-131.08,61.76032
206.292,106.52,313.89344
206.674,20.59,98.44768
207.055,1050,59.70944
207.436,-21.93,30.5728
207.818,78,-2513.28
208.199,163.33,58.59424
208.58,10,39.46176
208.962,5.1,-578.15776
209.343,141.23,96.44576
209.724,-153.23,68.7616
210.105,144.55,-6.21248
210.486,83.33,8.81824
210.867,283.33,260.7664
211.248,71.57,-20.1824
211.629,82,2.19232
212.01,578.57,64.53472
212.391,85.56,44.93984
212.772,23.68,-53.38272
213.153,12.26,23.31584
213.534,-9.7,-237.1024
213.914,-135.71,-756.65504
214.295,202.38,3.00288
214.676,13.64,87.68192
215.057,61.76,336.47488
215.437,338.24,-32.0688
215.818,-91.18,-224.536
216.198,102.73,78.86912
216.579,480.43,243.92416
216.96,1035.71,-222.01184
217.34,-6.57,70.62752
217.721,36.67,25.06752
218.101,21.7,-551.34944
218.481,3.33,100.49312
218.862,177.59,-421.37152
219.242,23.74,11.66336
219.622,-8.06,10.97792
220.003,-336.67,78.15648
220.383,152.86,17.83232
220.763,50,16.97824
221.143,73.73,36.21408
221.523,37.1,33.6192
221.904,224.07,20.4816
222.284,50,26.13376
222.664,-146,48.5792
223.044,-45.56,19.79072
223.424,160.45,38.12352
223.804,102.38,-54.95488
224.184,87.21,1538.03488
224.563,200.98,79.46752
224.943,-159.09,38.11808
225.323,144.38,52.0064
225.703,-34.62,12.26176
226.083,-1350,21.7056
226.462,63.21,40.392
226.842,-64.89,73.55424
227.222,173.81,1.8768
227.601,42.77,49.81408
227.981,-164.29,16.1296
228.36,1178.57,9.47648
228.74,-25.94,180.00416
229.119,15.22,-1.8224
229.499,38.15,8.41568
229.878,38.32,-0.44608
230.258,47.95,8.44288
230.637,24.17,31.56288
231.016,16.89,34.25568
231.396,6.13,27.97792
231.775,-13.31,11.30976
232.154,-0.35,26.61792
232.533,20.95,14.31264
232.913,26.35,35.94208
233.292,-1.75,33.65184
233.671,95.21,30.83936
234.05,56.04,-11.0976
234.429,-28.05,25.6768
234.808,18.7,19.35552
235.187,85.03,-0.66912
235.566,-10.65,29.41408
235.945,18.5,37.23136
236.324,58.92,39.58688
236.702,-11.85,40.9632
237.081,46.64,20.93312
237.46,-32.11,11.24992
237.839,39.41,36.24672
