wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
300,0.232844075,0.243221988,0.195781066,0.243295229,0.217760371,0.159755633,0.146141354,0.064382043,0.078639057,0.051162013,0.054368134,0.075512203,0.024855898,0.041966767,0.081744134,0.071331817,0.044914738,0.045556811,0.068020497
301,0.255033136,0.229615453,0.193902593,0.293938261,0.24852743,0.133828472,0.134728685,0.064015281,0.085470898,0.056421449,0.072130065,0.08583999,0.029562512,0.062907935,0.084591375,0.083968965,0.054267939,0.040391707,0.044885322
302,0.266647589,0.218483368,0.176742972,0.279492153,0.242652971,0.120515285,0.12214195,0.059016996,0.093300586,0.039877224,0.065688592,0.046571808,0.040376305,0.059260812,0.084942163,0.104413033,0.039059119,0.014878636,0.062698382
303,0.288331145,0.243441558,0.20515957,0.281144496,0.259640109,0.10265054,0.119860172,0.070893547,0.092436045,0.053160708,0.065728447,0.04868266,0.043772564,0.06233262,0.094953776,0.089509366,0.034949675,0.040213192,0.075134259
304,0.327001294,0.331478938,0.237486628,0.334013706,0.297542269,0.11619656,0.138424786,0.073119397,0.101842408,0.111418723,0.104172093,0.043779403,0.07644612,0.093683536,0.092946576,0.065334062,0.066916828,0.050131566,0.115007732
305,0.416690795,0.406888518,0.313759832,0.385354425,0.327528136,0.178563366,0.179114244,0.115045224,0.135382081,0.133240812,0.104048326,0.055051756,0.103448458,0.106503754,0.121372808,0.070757628,0.099183567,0.070176102,0.138936637
306,0.541075046,0.51996318,0.434384422,0.47568016,0.415982991,0.219908593,0.248056866,0.17591489,0.180160368,0.1890567,0.146681886,0.139971982,0.14578889,0.119458842,0.150717689,0.107798991,0.16353874,0.13787824,0.1878952
307,0.654126534,0.653482233,0.548445771,0.619237228,0.514581307,0.272138196,0.283705693,0.201806673,0.205665324,0.220086918,0.166202832,0.153607051,0.149206659,0.142250992,0.147694753,0.138683631,0.199420951,0.140631514,0.226023687
308,0.810928244,0.744189872,0.678970796,0.722089816,0.606187828,0.350442893,0.368837538,0.249393498,0.256712891,0.212267966,0.212593247,0.231494728,0.182491848,0.190781884,0.193457932,0.182829043,0.223901702,0.214754827,0.253235479
309,0.967948987,0.891665516,0.833267309,0.858561268,0.735430299,0.451182865,0.458898847,0.291142648,0.305238255,0.251898135,0.304797748,0.273975204,0.251898269,0.225242747,0.228529843,0.241856351,0.235305811,0.25569833,0.316282145
310,1.061653361,0.977196669,0.940199643,0.984807301,0.824703367,0.549038179,0.498154965,0.29653191,0.299536881,0.278394511,0.315681192,0.272142207,0.260645551,0.231895981,0.230290387,0.230110338,0.21900729,0.252750508,0.271842038
311,1.261093987,1.156521339,1.115251548,1.114989282,0.949897545,0.674625662,0.587285226,0.343771117,0.353105093,0.343695421,0.359423731,0.321565005,0.307838778,0.289941722,0.287185943,0.241177235,0.204549718,0.28663692,0.282493332
312,1.431589358,1.372561646,1.321476766,1.284202949,1.137240333,0.808457759,0.66888719,0.434843727,0.397410261,0.444708065,0.409366571,0.361562223,0.375993522,0.323102055,0.345516548,0.308965924,0.235325499,0.328443451,0.306786381
313,1.612644037,1.567692311,1.539035534,1.502523717,1.350196184,0.942896161,0.755651015,0.511176042,0.45949006,0.522599521,0.431796196,0.411181201,0.411381721,0.35643332,0.374296794,0.335175731,0.284916357,0.353117131,0.318592836
314,1.799799987,1.726678834,1.696913028,1.648622871,1.476672438,1.013424235,0.844280221,0.594909353,0.528896954,0.572992641,0.469865276,0.478668823,0.438018759,0.401610159,0.412455023,0.354798886,0.324814977,0.398008094,0.383181759
315,2.131879938,2.041153313,1.980777659,1.963807037,1.784431287,1.198935575,1.022831475,0.738141822,0.666116011,0.669822283,0.595389638,0.596832036,0.55525851,0.462203686,0.475706452,0.451502299,0.443129948,0.517677862,0.474707973
316,2.200549805,2.097548338,2.050040913,2.038752945,1.835418551,1.236294363,1.063093609,0.76260955,0.72783876,0.663660889,0.625128953,0.611890606,0.573426837,0.465330243,0.470511917,0.443569894,0.466234227,0.510817389,0.459214877
317,2.454375953,2.364037622,2.288575214,2.269350822,2.024991645,1.387439992,1.206404953,0.856683381,0.836494757,0.744967692,0.728404289,0.71430247,0.664479753,0.579635809,0.557310674,0.546420303,0.547005069,0.612139865,0.54906583
318,2.592160314,2.569172963,2.444157162,2.412475556,2.189480743,1.508209894,1.290650632,0.91603564,0.90536962,0.807127836,0.786717109,0.758057913,0.747031235,0.639008825,0.600248646,0.613411027,0.588795763,0.663930809,0.583146665
319,2.923414552,2.888539483,2.777306751,2.696783256,2.481090535,1.718590114,1.466598054,1.065113728,1.020488151,0.919710683,0.88982914,0.864978093,0.863104947,0.722711814,0.698755432,0.710666237,0.663079036,0.7187974,0.637200759
320,3.134996733,3.09209663,2.995160565,2.88560651,2.688519218,1.845004872,1.570990532,1.149504384,1.074819117,1.000998124,0.944634687,0.923592715,0.904771499,0.791529703,0.745554929,0.737654014,0.70368372,0.775032744,0.697229478
321,3.434920381,3.369671598,3.248157022,3.117268364,2.952010025,1.983865953,1.717090787,1.300643618,1.186050058,1.092970853,1.036271973,1.013710993,0.989470727,0.878477328,0.821207967,0.788306384,0.766610484,0.857949809,0.763158501
322,3.241632506,3.162438072,3.05273985,2.928928557,2.744361701,1.851137046,1.608792843,1.22967097,1.105171405,1.019802599,0.985130054,0.955107765,0.919963338,0.81295378,0.79032381,0.735549525,0.719935236,0.800555582,0.726006119
323,3.476468187,3.416736025,3.305192663,3.185404541,2.954993926,1.975613388,1.711801519,1.299048316,1.193980108,1.097446751,1.057306583,1.003892125,0.949129703,0.885129682,0.841799658,0.79644061,0.760560125,0.873023873,0.786947012
324,3.542792411,3.474838419,3.337364778,3.243480274,2.976020605,1.997760272,1.714309597,1.292854716,1.201027216,1.113974289,1.044788898,1.013883903,0.949302569,0.897958166,0.864707105,0.821859869,0.762752464,0.868804967,0.806017872
325,3.835258023,3.752361795,3.594346409,3.507894159,3.204850618,2.161396632,1.820583497,1.315325708,1.261516651,1.206096194,1.100453395,1.058215716,1.016104241,0.919741849,0.911053057,0.88274945,0.798182353,0.889155038,0.803680887
326,4.005497361,3.903313498,3.759693298,3.664589022,3.378830616,2.272243926,1.90803664,1.382729204,1.322094243,1.253454111,1.140080837,1.093018131,1.038279381,0.962226728,0.943789288,0.912228044,0.838260122,0.918038534,0.832469023
327,4.207803705,4.098111003,3.94366357,3.84142349,3.529851722,2.393380185,2.014701662,1.441096677,1.374347713,1.304426093,1.182246948,1.133136822,1.106757952,1.006752751,0.98344074,0.935022591,0.884850847,0.972417709,0.860682554
328,4.474620708,4.399334677,4.221636403,4.101229442,3.742716533,2.558430521,2.175895394,1.520609977,1.442527205,1.36086392,1.25324611,1.189474667,1.180538011,1.042227782,1.002965972,0.984195457,0.915391906,1.019447083,0.900214961
